Removed GPS by Speed,All GPS's Track ID,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,"Speeds > 1,11111 m/s"
1,1011,2020.07.26 05:30:07,2020.07.26 05:30:00,2020.07.26 05:30:07,Resolved QFP,37.921365,16.066898000000002,1.1893045719766635
2,1075,2020.07.28 17:33:12,2020.07.28 17:30:00,2020.07.28 17:33:12,Resolved QFP (Uncertain),37.09574,15.514778,1.1309636774935519
3,1183,2020.08.02 04:34:30,2020.08.02 04:30:00,2020.08.02 04:34:30,Unresolved QFP,35.559658,14.199204,42.399898399259406
4,1317,2020.08.05 07:01:05,2020.08.05 07:00:00,2020.08.05 07:01:05,Resolved QFP (Uncertain),37.520066,3.3879639999999998,988.2176159455698
5,1391,2020.08.06 08:38:31,2020.08.06 08:30:00,2020.08.06 08:38:31,Unresolved QFP,38.574596,8.602361,282.1557197661676
6,1412,2020.08.06 17:36:30,2020.08.06 17:30:00,2020.08.06 17:36:30,Resolved QFP (Uncertain),36.756741999999996,12.375498,4.035555611115573
7,1958,2020.08.23 19:36:02,2020.08.23 19:00:00,2020.08.23 19:36:02,Resolved QFP (Uncertain),31.440928999999997,13.346988,171.75018603719724
8,1962,2020.08.24 06:58:17,2020.08.24 07:00:00,2020.08.24 06:58:17,Unresolved QFP,40.791548,11.895997999999999,59.95711877259807
9,1988,2020.08.26 01:09:49,2020.08.26 01:00:00,2020.08.26 01:09:49,Unresolved QFP,36.741122,10.545074000000001,10.361685310933922
10,2081,2020.08.30 07:10:28,2020.08.30 07:00:00,2020.08.30 07:10:28,Unresolved QFP,37.934527,8.791929,15.99201645314077
11,2497,2020.09.11 22:58:22,2020.09.11 23:00:00,2020.09.11 22:58:22,Resolved QFP (Uncertain),34.283284,1.7514560000000001,234.99330641385214
12,2741,2020.09.19 15:40:49,2020.09.19 15:00:00,2020.09.19 15:40:49,Unresolved QFP,37.093185999999996,4.800333,38.33812957853081
13,3028,2020.10.10 03:25:59,2020.10.10 03:00:00,2020.10.10 03:25:59,Resolved QFP (Uncertain),43.154531,-1.7472470000000002,218.95642372073485
14,3205,2020.10.20 23:10:33,2020.10.20 23:00:00,2020.10.20 23:10:33,Unresolved QFP,38.290608,-4.20518,329.99169270780664
15,3265,2020.10.25 10:00:06,2020.10.25 10:00:00,2020.10.25 10:00:06,Resolved QFP,37.668172,-0.362702,1.4003228789745958
16,3382,2020.11.02 05:00:21,2020.11.02 05:00:00,2020.11.02 05:00:21,Resolved QFP,36.76761,0.578677,1.1768987607878465
17,3512,2020.11.09 12:01:17,2020.11.09 12:00:00,2020.11.09 12:01:17,Unresolved QFP,38.976263,5.190254,151.11015996843574
18,3730,2020.11.29 12:40:16,2020.11.29 12:00:00,2020.11.29 12:40:16,Unresolved QFP,40.861672,10.371466999999999,80.56294159769166
19,3968,2020.12.18 15:00:40,2020.12.18 15:00:00,2020.12.18 15:00:40,Unresolved QFP,38.186357,7.759977,21.395576923727987
20,4054,2020.12.23 23:02:39,2020.12.23 23:00:00,2020.12.23 23:02:39,Resolved QFP (Uncertain),37.955519,7.746161,1.5904234771411092
21,4086,2020.12.25 13:45:58,2020.12.25 13:00:00,2020.12.25 13:45:58,Unresolved QFP,37.057437,7.374135000000001,27.786378345607897
22,4159,2020.12.29 09:15:12,2020.12.29 09:00:00,2020.12.29 09:15:12,Unresolved QFP,37.897821,8.595385,1.1458062560992321
23,4229,2021.01.02 17:11:16,2021.01.02 17:00:00,2021.01.02 17:11:16,Unresolved QFP,34.994009999999996,8.23974,41.69783777988466
24,4307,2021.01.07 14:00:02,2021.01.07 14:00:00,2021.01.07 14:00:02,Resolved QFP,38.185465,11.251147,3.8624536446505506
25,4341,2021.01.10 00:00:02,2021.01.10 00:00:00,2021.01.10 00:00:02,Resolved QFP,38.4862,11.233966,1.2253807233470129
26,4400,2021.01.17 16:10:06,2021.01.17 16:00:00,2021.01.17 16:10:06,Unresolved QFP,38.922903999999996,9.838955,6.877652497484898
27,4443,2021.01.21 23:00:19,2021.01.21 23:00:00,2021.01.21 23:00:19,Unresolved QFP,38.056559,10.16652,23.154407361212456
28,4457,2021.01.22 23:00:06,2021.01.22 23:00:00,2021.01.22 23:00:06,Resolved QFP,37.69318,10.328449,5.074020543438692
29,4465,2021.01.23 14:00:06,2021.01.23 14:00:00,2021.01.23 14:00:06,Unresolved QFP,37.466805,10.559674000000001,9.283656527104299
30,4484,2021.01.25 07:25:21,2021.01.25 07:00:00,2021.01.25 07:25:21,Unresolved QFP,37.370202,10.801967,1.344918662114435
31,4502,2021.01.27 09:49:09,2021.01.27 09:00:00,2021.01.27 09:49:09,Unresolved QFP,38.663509999999995,2.824193,29.895207098665225
32,4525,2021.01.29 05:50:59,2021.01.29 05:00:00,2021.01.29 05:50:59,Resolved QFP,37.853359999999995,11.714764,1.1277497801203666
33,4647,2021.02.10 15:59:39,2021.02.10 16:00:00,2021.02.10 15:59:39,Resolved QFP,38.649347,11.491266,111.65462206462004
