Remaining Data ID,No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
1,45,2020.07.10 00:00:00,2020.07.10 00:00:00,,,,27.0,,2020.07.10 05:34:12,1,,,,Primary,,No,
2,51,2020.07.10 05:34:12,2020.07.10 05:34:12,,,,,Hit,2020.07.10 05:34:12,1,No,No,,,0 0 941 11 3 0 0 0,No,
3,59,2020.07.10 12:00:00,2020.07.10 12:00:00,,,,26.0,,2020.07.10 17:33:15,1,,,,Primary,,No,
4,65,2020.07.10 14:17:20,2020.07.10 14:17:20,4.0,37.91813,16.00165,,Hit,2020.07.10 14:17:20,1,No,No,,,7015 877 1593 15 1 0 4 4,No,
5,69,2020.07.10 17:33:15,2020.07.10 17:33:15,3.0,37.91813,16.00165,,Hit,2020.07.10 17:33:15,1,No,No,,,154 154 1805 7 0 0 1 0,No,
6,77,2020.07.10 23:07:53,2020.07.10 23:07:53,5.0,37.91202,16.0454,,Hit,2020.07.10 23:07:53,1,No,No,,,4018 1005 721 11 0 0 2 2,No,
7,79,2020.07.11 00:00:00,2020.07.11 00:00:00,,,,24.0,,2020.07.11 02:28:17,1,,,,Primary,,No,
8,85,2020.07.11 02:28:17,2020.07.11 02:28:17,3.0,37.91202,16.0454,,Hit,2020.07.11 02:28:17,1,No,No,,,0 0 1936 7 0 0 0 0,No,
9,96,2020.07.11 12:00:00,2020.07.11 12:00:00,,,,29.0,,2020.07.11 18:59:49,1,,,,Primary,,No,
10,105,2020.07.11 18:59:49,2020.07.11 18:59:49,4.0,37.69362,16.095,,Hit,2020.07.11 18:59:49,1,No,No,,,583 583 76 19 14 0 0 1,No,
11,109,2020.07.11 21:34:23,2020.07.11 21:34:23,2.0,37.69362,16.095,,Hit,2020.07.11 21:34:23,1,No,No,,,667 667 667 6 0 0 1 0,No,
12,113,2020.07.12 00:00:00,2020.07.12 00:00:00,,,,27.0,,2020.07.12 12:40:24,1,,,,Primary,,No,
13,127,2020.07.12 12:00:00,2020.07.12 12:00:00,,,,31.0,,2020.07.12 14:00:16,1,,,,Primary,,No,
14,131,2020.07.12 12:40:24,2020.07.12 12:40:24,3.0,37.58518,15.970279999999999,,Hit,2020.07.12 12:40:24,1,No,No,,,4068 581 724 23 6 0 2 5,No,
15,135,2020.07.12 14:00:16,2020.07.12 14:00:16,4.0,37.59122,15.926720000000001,,Hit,2020.07.12 14:00:16,1,No,No,,,0 0 15 4 0 0 0 0,No,
16,141,2020.07.12 18:30:24,2020.07.12 18:30:24,4.0,37.59122,15.926720000000001,,Hit,2020.07.12 18:30:24,1,No,No,,,0 0 67 9 0 0 0 0,No,
17,147,2020.07.12 23:39:57,2020.07.12 23:39:57,2.0,37.59725,15.88313,,Hit,2020.07.12 23:39:57,1,No,No,,,982 491 491 10 0 0 1 1,No,
18,150,2020.07.13 00:00:00,2020.07.13 00:00:00,,,,27.0,,2020.07.13 05:04:35,1,,,,Primary,,No,
19,157,2020.07.13 05:04:35,2020.07.13 05:04:35,3.0,37.60327,15.839529999999998,,Hit,2020.07.13 05:04:35,1,No,No,,,625 625 625 10 1 0 1 0,No,
20,165,2020.07.13 11:14:38,2020.07.13 11:14:38,13.0,37.60327,15.839529999999998,,Hit,2020.07.13 11:14:38,1,No,No,,,0 0 958 11 1 0 0 0,No,
21,167,2020.07.13 12:00:00,2020.07.13 12:00:00,,,,29.0,,2020.07.13 15:23:47,1,,,,Primary,,No,
22,173,2020.07.13 15:23:47,2020.07.13 15:23:47,26.0,37.547270000000005,16.20042,,Hit,2020.07.13 15:23:47,1,No,No,,,1149 1149 1149 8 0 0 1 0,No,
23,181,2020.07.13 21:36:17,2020.07.13 21:36:17,4.0,37.68428,15.66495,,Hit,2020.07.13 21:36:17,1,No,No,,,0 0 1698 10 3 0 0 0,No,
24,186,2020.07.14 00:00:00,2020.07.14 00:00:00,,,,26.0,,2020.07.14 03:05:30,1,,,,Primary,,No,
25,191,2020.07.14 03:05:30,2020.07.14 03:05:30,,,,,Hit,2020.07.14 03:05:30,1,No,No,,,3360 560 1123 11 0 0 1 5,No,
26,197,2020.07.14 07:00:17,2020.07.14 07:00:17,5.0,37.72468,15.57755,,Hit,2020.07.14 07:00:17,1,No,No,,,0 0 683 8 0 0 0 0,No,
27,203,2020.07.14 11:30:30,2020.07.14 11:30:30,8.0,37.7365,15.490070000000001,,Hit,2020.07.14 11:30:30,1,No,No,,,0 0 38 9 0 0 0 0,No,
28,205,2020.07.14 12:00:00,2020.07.14 12:00:00,,,,28.0,,2020.07.15 00:36:01,1,,,,Primary,,No,
29,219,2020.07.15 00:00:00,2020.07.15 00:00:00,,,,27.0,,2020.07.15 07:31:30,1,,,,Primary,,No,
30,223,2020.07.15 00:36:01,2020.07.15 00:36:01,2.0,37.81478,15.502220000000001,,Hit,2020.07.15 00:36:01,1,No,No,,,1080 540 1725 18 7 0 0 2,No,
31,231,2020.07.15 07:31:30,2020.07.15 07:31:30,3.0,37.77445,15.58975,,Hit,2020.07.15 07:31:30,1,No,No,,,0 0 80 11 4 0 0 0,No,
32,239,2020.07.15 12:00:00,2020.07.15 12:00:00,,,,28.0,,2020.07.15 14:30:17,1,,,,Primary,,No,
33,243,2020.07.15 14:30:17,2020.07.15 14:30:17,2.0,37.82423,15.601970000000001,,Hit,2020.07.15 14:30:17,1,No,No,,,0 0 84 9 5 0 0 0,No,
34,253,2020.07.15 22:00:21,2020.07.15 22:00:21,8.0,37.87402,15.6142,,Hit,2020.07.15 22:00:21,1,No,No,,,0 0 13 11 4 0 0 0,No,
35,255,2020.07.16 00:00:00,2020.07.16 00:00:00,,,,26.0,,2020.07.17 02:19:14,1,,,,Primary,,No,
36,270,2020.07.16 12:00:00,2020.07.16 12:00:00,,,,28.0,,2020.07.17 02:19:08,1,,,,Primary,,No,
37,285,2020.07.17 00:00:00,2020.07.17 00:00:00,,,,26.0,,2020.07.17 19:19:27,1,,,,Primary,,No,
38,289,2020.07.17 02:19:08,2020.07.17 02:19:08,2.0,37.92715,15.770270000000002,,Hit,2020.07.17 02:19:08,1,No,No,,,5547 616 958 33 23 0 0 9,No,
39,291,2020.07.17 02:19:14,2020.07.17 02:19:14,2.0,37.92715,15.770270000000002,,Hit,2020.07.17 02:19:14,1,No,No,,,0 0 958 0 0 0 0 0,No,
40,301,2020.07.17 12:00:00,2020.07.17 12:00:00,,,,28.0,,2020.07.18 00:32:36,1,,,,Primary,,No,
41,311,2020.07.17 19:19:27,2020.07.17 19:19:27,,,,,Hit,2020.07.17 19:19:27,1,No,No,,,645 323 44 19 15 0 0 2,No,
42,318,2020.07.18 00:00:00,2020.07.18 00:00:00,,,,27.0,,2020.07.18 08:45:11,1,,,,Primary,,No,
43,321,2020.07.18 00:32:36,2020.07.18 00:32:36,,,,,Hit,2020.07.18 00:32:36,1,No,No,,,5412 541 1503 9 1 0 2 8,No,
44,331,2020.07.18 08:45:11,2020.07.18 08:45:11,9.0,37.96175,16.05798,,Hit,2020.07.18 08:45:11,1,No,No,,,5736 717 1057 9 6 0 1 7,No,
45,336,2020.07.18 12:00:00,2020.07.18 12:00:00,,,,27.0,,2020.07.18 14:40:34,1,,,,Primary,,No,
46,341,2020.07.18 14:40:34,2020.07.18 14:40:34,2.0,37.91202,16.0454,,Hit,2020.07.18 14:40:34,1,No,No,,,2252 2252 1256 9 3 0 1 0,No,
47,347,2020.07.18 18:46:03,2020.07.18 18:46:03,2.0,37.91202,16.0454,,Hit,2020.07.18 18:46:03,1,No,No,,,0 0 1053 8 0 0 0 0,No,
48,354,2020.07.19 00:00:00,2020.07.19 00:00:00,,,,26.0,,2020.07.19 02:42:27,1,,,,Primary,,No,
49,359,2020.07.19 02:42:27,2020.07.19 02:42:27,9.0,37.91202,16.0454,,Hit,2020.07.19 02:42:27,1,No,No,,,0 0 2031 15 0 0 0 0,No,
50,367,2020.07.19 08:54:51,2020.07.19 08:54:51,,,,,Hit,2020.07.19 08:54:51,1,No,No,,,0 0 1912 10 0 0 0 0,No,
51,372,2020.07.19 12:00:00,2020.07.19 12:00:00,,,,27.0,,2020.07.19 12:36:51,1,,,,Primary,,No,
52,375,2020.07.19 12:36:51,2020.07.19 12:36:51,8.0,37.905879999999996,16.089129999999997,,Hit,2020.07.19 12:36:51,1,No,No,,,0 0 1617 8 0 0 0 0,No,
53,381,2020.07.19 16:03:03,2020.07.19 16:03:03,4.0,37.91202,16.0454,,Hit,2020.07.19 16:03:03,1,No,No,,,0 0 1778 7 0 0 0 0,No,
54,387,2020.07.19 21:49:39,2020.07.19 21:49:39,2.0,37.91202,16.0454,,Hit,2020.07.19 21:49:39,1,No,No,,,0 0 1302 11 0 0 0 0,No,
55,392,2020.07.20 00:00:00,2020.07.20 00:00:00,,,,26.0,,2020.07.20 03:15:06,1,,,,Primary,,No,
56,397,2020.07.20 03:15:06,2020.07.20 03:15:06,3.0,37.93332,16.05798,,Hit,2020.07.20 03:15:06,1,No,No,,,21 21 1256 8 0 0 0 1,No,
57,403,2020.07.20 07:56:44,2020.07.20 07:56:44,3.0,37.91202,16.0454,,Hit,2020.07.20 07:56:44,1,No,No,,,0 0 1797 10 0 0 0 0,No,
58,409,2020.07.20 12:00:00,2020.07.20 12:00:00,,,,26.0,,2020.07.20 12:10:04,1,,,,Primary,,No,
59,413,2020.07.20 12:10:04,2020.07.20 12:10:04,4.0,37.905879999999996,16.089129999999997,,Hit,2020.07.20 12:10:04,1,No,No,,,0 0 1911 8 0 0 0 0,No,
60,421,2020.07.20 18:00:21,2020.07.20 18:00:21,3.0,37.91202,16.0454,,Hit,2020.07.20 18:00:21,1,No,No,,,0 0 511 9 3 0 0 0,No,
61,428,2020.07.21 00:00:00,2020.07.21 00:00:00,,,,26.0,,2020.07.21 05:26:15,1,,,,Primary,,No,
62,435,2020.07.21 05:26:15,2020.07.21 05:26:15,3.0,37.96175,16.05798,,Hit,2020.07.21 05:26:15,1,No,No,,,5056 1264 1639 20 1 0 0 4,No,
63,441,2020.07.21 09:27:43,2020.07.21 09:27:43,2.0,37.95562,16.10175,,Hit,2020.07.21 09:27:43,1,No,No,,,4310 1437 1821 9 0 0 2 1,No,
64,447,2020.07.21 12:00:00,2020.07.21 12:00:00,,,,26.0,,2020.07.21 14:41:16,1,,,,Primary,,No,
65,451,2020.07.21 14:41:16,2020.07.21 14:41:16,8.0,37.92102,16.14548,,Hit,2020.07.21 14:41:16,1,No,No,,,3943 657 1586 9 1 0 1 5,No,
66,459,2020.07.21 20:30:18,2020.07.21 20:30:18,4.0,37.95562,16.10175,,Hit,2020.07.21 20:30:18,1,No,No,,,0 0 43 8 0 0 0 0,No,
67,464,2020.07.22 00:00:00,2020.07.22 00:00:00,,,,26.0,,2020.07.22 05:59:27,1,,,,Primary,,No,
68,471,2020.07.22 05:59:27,2020.07.22 05:59:27,4.0,37.95562,16.10175,,Hit,2020.07.22 05:59:27,1,No,No,,,8431 843 1577 18 0 0 0 10,No,
69,475,2020.07.22 07:39:19,2020.07.22 07:39:19,3.0,37.93332,16.05798,,Hit,2020.07.22 07:39:19,1,No,No,,,0 0 1321 4 0 0 0 0,No,
70,481,2020.07.22 12:00:00,2020.07.22 12:00:00,,,,28.0,,2020.07.23 00:24:43,1,,,,Primary,,No,
71,485,2020.07.22 12:22:41,2020.07.22 12:22:41,4.0,37.95562,16.10175,,Hit,2020.07.22 12:22:41,1,No,No,,,0 0 1594 9 0 0 0 0,No,
72,498,2020.07.23 00:00:00,2020.07.23 00:00:00,,,,26.0,,2020.07.23 04:38:20,1,,,,Primary,,No,
73,501,2020.07.23 00:24:36,2020.07.23 00:24:36,3.0,37.94657,16.00165,,Hit,2020.07.23 00:24:36,1,No,No,,,1965 328 881 22 1 0 0 6,No,
74,503,2020.07.23 00:24:43,2020.07.23 00:24:43,3.0,37.96175,16.05798,,Hit,2020.07.23 00:24:43,1,No,No,,,0 0 881 0 0 0 0 0,No,
75,509,2020.07.23 04:38:20,2020.07.23 04:38:20,6.0,37.927170000000004,16.10175,,Hit,2020.07.23 04:38:20,1,No,No,,,4205 701 1175 8 0 0 2 4,No,
76,513,2020.07.23 07:40:53,2020.07.23 07:40:53,4.0,37.927170000000004,16.10175,,Hit,2020.07.23 07:40:53,1,No,No,,,0 0 1711 7 0 0 0 0,No,
77,519,2020.07.23 11:30:39,2020.07.23 11:30:39,3.0,37.95562,16.10175,,Hit,2020.07.23 11:30:39,1,No,No,,,0 0 1598 8 0 0 0 0,No,
78,521,2020.07.23 12:00:00,2020.07.23 12:00:00,,,,27.0,,2020.07.23 22:22:50,1,,,,Primary,,No,
79,535,2020.07.23 22:22:50,2020.07.23 22:22:50,2.0,37.95562,16.10175,,Hit,2020.07.23 22:22:50,1,No,No,,,855 855 844 14 7 0 0 1,No,
80,537,2020.07.23 23:21:49,2020.07.23 23:21:49,3.0,37.93332,16.05798,,Hit,2020.07.23 23:21:49,1,,,,,,,
81,540,2020.07.24 00:00:00,2020.07.24 00:00:00,,,,27.0,,2020.07.24 02:00:15,1,,,,Primary,,No,
82,545,2020.07.24 02:00:15,2020.07.24 02:00:15,20.0,37.92102,16.14548,,Hit,2020.07.24 02:00:15,1,No,No,,,0 0 24 6 0 0 0 0,No,
83,553,2020.07.24 09:04:04,2020.07.24 09:04:04,8.0,37.9963,16.01422,,Hit,2020.07.24 09:04:04,1,No,No,,,5954 1489 1661 13 0 0 0 4,No,
84,557,2020.07.24 10:51:15,2020.07.24 10:51:15,2.0,37.96175,16.05798,,Hit,2020.07.24 10:51:15,1,No,No,,,0 0 1433 4 0 0 0 0,No,
85,560,2020.07.24 12:00:00,2020.07.24 12:00:00,,,,29.0,,2020.07.25 02:26:56,1,,,,Primary,,No,
86,569,2020.07.24 18:27:57,2020.07.24 18:27:57,4.0,37.96175,16.05798,,Hit,2020.07.24 18:27:57,1,,,,,,,Incomplete Transfer
87,577,2020.07.25 00:00:00,2020.07.25 00:00:00,,,,26.0,,2020.07.25 02:26:43,1,,,,Primary,,No,
88,581,2020.07.25 02:26:43,2020.07.25 02:26:43,4.0,37.96175,16.05798,,Hit,2020.07.25 02:26:43,1,No,No,,,5589 699 469 26 4 0 1 7,No,
89,583,2020.07.25 02:26:49,2020.07.25 02:26:49,4.0,37.96175,16.05798,,Hit,2020.07.25 02:26:49,1,No,No,,,0 0 469 0 0 0 0 0,No,
90,585,2020.07.25 02:26:56,2020.07.25 02:26:56,4.0,37.96175,16.05798,,Hit,2020.07.25 02:26:56,1,No,No,,,0 0 469 0 0 0 0 0,No,
91,591,2020.07.25 06:02:58,2020.07.25 06:02:58,6.0,37.96175,16.05798,,Hit,2020.07.25 06:02:58,1,No,No,,,0 0 1212 8 0 0 0 0,No,
92,597,2020.07.25 10:38:02,2020.07.25 10:38:02,4.0,37.91202,16.0454,,Hit,2020.07.25 10:38:02,1,No,No,,,0 0 1943 8 0 0 0 0,No,
93,600,2020.07.25 12:00:00,2020.07.25 12:00:00,,,,27.0,,2020.07.25 16:02:52,1,,,,Primary,,No,
94,607,2020.07.25 16:02:52,2020.07.25 16:02:52,3.0,37.91202,16.0454,,Hit,2020.07.25 16:02:52,1,No,No,,,1855 1855 1691 9 0 0 1 0,No,
95,613,2020.07.25 20:35:30,2020.07.25 20:35:30,6.0,37.91202,16.0454,,Hit,2020.07.25 20:35:30,1,No,No,,,0 0 1994 9 0 0 0 0,No,
96,617,2020.07.26 00:00:00,2020.07.26 00:00:00,,,,26.0,,2020.07.26 00:19:10,1,,,,Primary,,No,
97,621,2020.07.26 00:19:10,2020.07.26 00:19:10,11.0,37.94657,16.00165,,Hit,2020.07.26 00:19:10,1,No,No,,,0 0 1361 8 0 0 0 0,No,
98,629,2020.07.26 06:07:28,2020.07.26 06:07:28,11.0,37.909,15.901629999999999,,Hit,2020.07.26 06:07:28,1,No,No,,,0 0 2180 9 0 0 0 0,No,
99,635,2020.07.26 10:10:33,2020.07.26 10:10:33,10.0,37.92102,16.14548,,Hit,2020.07.26 10:10:33,1,No,No,,,0 0 1962 8 0 0 0 0,No,
100,638,2020.07.26 12:00:00,2020.07.26 12:00:00,,,,28.0,,2020.07.26 16:05:19,1,,,,Primary,,No,
101,645,2020.07.26 16:05:19,2020.07.26 16:05:19,3.0,37.91202,16.0454,,Hit,2020.07.26 16:05:19,1,No,No,,,0 0 1276 11 1 0 0 0,No,
102,651,2020.07.26 20:37:40,2020.07.26 20:37:40,,,,,Hit,2020.07.26 20:37:40,1,No,No,,,498 498 176 9 0 0 1 0,No,
103,656,2020.07.27 00:00:00,2020.07.27 00:00:00,,,,27.0,,2020.07.28 17:33:01,1,,,,Primary,,No,
104,670,2020.07.27 12:00:00,2020.07.27 12:00:00,,,,29.0,,2020.07.28 06:27:18,1,,,,Primary,,No,
105,683,2020.07.28 00:00:00,2020.07.28 00:00:00,,,,25.0,,2020.07.28 06:27:18,1,,,,Primary,,No,
106,693,2020.07.28 06:27:18,2020.07.28 06:27:18,4.0,37.459070000000004,15.429670000000002,,Hit,2020.07.28 06:27:18,1,No,No,,,1549 387 964 9 57 0 0 4,No,
107,700,2020.07.28 12:00:00,2020.07.28 12:00:00,,,,29.0,,2020.07.29 22:40:28,1,,,,Primary,,No,
108,707,2020.07.28 17:33:01,2020.07.28 17:33:01,3.0,37.0858,15.48797,,Hit,2020.07.28 17:33:01,1,No,No,,,7570 757 885 7 15 0 0 10,No,
109,715,2020.07.29 00:00:00,2020.07.29 00:00:00,,,,27.0,,2020.07.29 22:40:16,1,,,,Primary,,No,
110,730,2020.07.29 12:00:00,2020.07.29 12:00:00,,,,28.0,,2020.07.29 22:40:16,1,,,,Primary,,No,
111,743,2020.07.29 22:40:16,2020.07.29 22:40:16,4.0,36.59795,15.251179999999998,,Hit,2020.07.29 22:40:16,1,No,No,,,14443 802 1243 29 29 0 2 16,No,
112,745,2020.07.29 22:40:28,2020.07.29 22:40:28,4.0,36.6533,15.21977,,Hit,2020.07.29 22:40:28,1,No,No,,,0 0 1243 0 0 0 0 0,No,
113,747,2020.07.30 00:00:00,2020.07.30 00:00:00,,,,27.0,,2020.07.30 11:05:40,1,,,,Primary,,No,
114,761,2020.07.30 11:05:40,2020.07.30 11:05:40,2.0,36.50027,15.0436,,Hit,2020.07.30 11:05:40,1,No,No,,,1501 751 815 15 10 0 0 2,No,
115,764,2020.07.30 12:00:00,2020.07.30 12:00:00,,,,23.0,,2020.07.31 00:50:16,1,,,,Primary,,No,
116,777,2020.07.30 23:02:59,2020.07.30 23:02:59,6.0,36.28758,15.051929999999999,,Hit,2020.07.30 23:02:59,1,,,,,,,Incomplete Transfer
117,779,2020.07.31 00:00:00,2020.07.31 00:00:00,,,,28.0,,2020.07.31 06:32:41,1,,,,Primary,,No,
118,783,2020.07.31 00:50:16,2020.07.31 00:50:16,6.0,36.23792,15.040370000000001,,Hit,2020.07.31 00:50:16,1,No,No,,,4812 687 666 27 1 0 0 7,No,
119,791,2020.07.31 06:32:41,2020.07.31 06:32:41,2.0,36.19925,14.942870000000001,,Hit,2020.07.31 06:32:41,1,No,No,,,0 0 858 6 6 0 0 0,No,
120,797,2020.07.31 12:00:00,2020.07.31 12:00:00,,,,21.0,,2020.07.31 12:30:15,1,,,,Primary,,No,
121,801,2020.07.31 12:30:15,2020.07.31 12:30:15,2.0,36.15505,14.88843,,Hit,2020.07.31 12:30:15,1,No,No,,,0 0 17 11 1 0 0 0,No,
122,813,2020.08.01 00:00:00,2020.08.01 00:00:00,,,,28.0,,2020.08.02 07:41:44,1,,,,Primary,,No,
123,825,2020.08.01 10:03:44,2020.08.01 10:03:44,3.0,36.15175,14.564729999999999,,Hit,2020.08.01 10:03:44,1,No,No,,,15408 1027 1513 38 3 0 8 7,No,
124,827,2020.08.01 10:52:42,2020.08.01 10:52:42,2.0,36.15175,14.564729999999999,,Hit,2020.08.01 10:52:42,1,,,,,,,Incomplete Transfer
125,829,2020.08.01 12:00:00,2020.08.01 12:00:00,,,,29.0,,2020.08.02 07:41:30,1,,,,Primary,,No,
126,831,2020.08.01 13:16:17,2020.08.01 13:16:17,3.0,36.1571,14.521679999999998,,Hit,2020.08.01 13:16:17,1,,,,,,,Incomplete Transfer
127,843,2020.08.02 00:00:00,2020.08.02 00:00:00,,,,28.0,,2020.08.02 07:41:22,1,,,,Primary,,No,
128,853,2020.08.02 07:41:22,2020.08.02 07:41:22,15.0,36.19208,14.2952,,Hit,2020.08.02 07:41:22,1,No,No,,,10499 875 1106 27 16 0 3 9,No,
129,855,2020.08.02 07:41:30,2020.08.02 07:41:30,16.0,36.19208,14.2952,,Hit,2020.08.02 07:41:30,1,No,No,,,0 0 1106 0 0 0 0 0,No,
130,857,2020.08.02 07:41:44,2020.08.02 07:41:44,19.0,36.20217,14.39243,,Hit,2020.08.02 07:41:44,1,No,No,,,0 0 1106 0 0 0 0 0,No,
131,863,2020.08.02 12:00:00,2020.08.02 12:00:00,,,,29.0,,2020.08.03 01:47:58,1,,,,Primary,,No,
132,878,2020.08.03 00:00:00,2020.08.03 00:00:00,,,,28.0,,2020.08.03 06:33:03,1,,,,Primary,,No,
133,881,2020.08.03 01:47:58,2020.08.03 01:47:58,2.0,36.281420000000004,13.8526,,Hit,2020.08.03 01:47:58,1,No,No,,,5169 1034 1096 17 19 0 2 3,No,
134,889,2020.08.03 06:33:03,2020.08.03 06:33:03,3.0,36.370470000000005,13.776679999999999,,Hit,2020.08.03 06:33:03,1,No,No,,,0 0 1496 8 2 0 0 0,No,
135,896,2020.08.03 12:00:00,2020.08.03 12:00:00,,,,21.0,,2020.08.03 14:52:53,1,,,,Primary,,No,
136,901,2020.08.03 14:52:53,2020.08.03 14:52:53,3.0,36.435520000000004,13.657229999999998,,Hit,2020.08.03 14:52:53,1,No,No,,,2628 526 1013 14 2 0 4 1,No,
137,911,2020.08.03 23:30:31,2020.08.03 23:30:31,3.0,36.50863,13.527,,Hit,2020.08.03 23:30:31,1,No,No,,,0 0 985 14 4 0 0 0,No,
138,912,2020.08.03 23:30:31,2020.08.03 23:30:31,3.0,36.50863,13.527000000000001,,Hit,2020.08.03 23:30:31,1,No,No,,,0 0 985 14 4 0 0 0,No,
139,914,2020.08.04 00:00:00,2020.08.04 00:00:00,,,,24.0,,2020.08.04 07:27:10,1,,,,Primary,,No,
140,923,2020.08.04 07:27:10,2020.08.04 07:27:10,4.0,36.552620000000005,13.396629999999998,,Hit,2020.08.04 07:27:10,1,No,No,,,1775 592 1142 14 1 0 3 0,No,
141,930,2020.08.04 12:00:00,2020.08.04 12:00:00,,,,27.0,,2020.08.04 17:31:36,1,,,,Primary,,No,
142,937,2020.08.04 17:31:36,2020.08.04 17:31:36,2.0,36.59023,13.1253,,Hit,2020.08.04 17:31:36,1,No,No,,,8526 775 707 17 4 0 3 8,No,
143,946,2020.08.05 00:00:00,2020.08.05 00:00:00,,,,23.0,,2020.08.05 04:33:31,1,,,,Primary,,No,
144,949,2020.08.05 00:51:00,2020.08.05 00:51:00,2.0,36.609629999999996,12.95102,,Hit,2020.08.05 00:51:00,1,,,,,,,Incomplete Transfer
145,951,2020.08.05 01:27:55,2020.08.05 01:27:55,4.0,36.63375,12.99462,,Hit,2020.08.05 01:27:55,1,No,No,,,17130 1318 2096 14 1 0 5 8,No,
146,957,2020.08.05 04:33:31,2020.08.05 04:33:31,4.0,36.6933,12.9174,,Hit,2020.08.05 04:33:31,1,No,No,,,1469 1469 1364 5 1 0 1 0,No,
147,965,2020.08.05 12:00:00,2020.08.05 12:00:00,,,,27.0,,2020.08.05 14:50:45,1,,,,Primary,,No,
148,971,2020.08.05 14:50:31,2020.08.05 14:50:31,3.0,36.69143,12.7328,,Hit,2020.08.05 14:50:31,1,No,No,,,10997 1100 1879 19 0 0 7 3,No,
149,973,2020.08.05 14:50:45,2020.08.05 14:50:45,3.0,36.69143,12.7328,,Hit,2020.08.05 14:50:45,1,No,No,,,0 0 1879 0 0 0 0 0,No,
150,981,2020.08.05 21:31:16,2020.08.05 21:31:16,2.0,36.73452,12.6017,,Hit,2020.08.05 21:31:16,1,,,,,,,Incomplete Transfer
151,983,2020.08.05 21:59:00,2020.08.05 21:59:00,3.0,36.73922,12.55797,,Hit,2020.08.05 21:59:00,1,,,,,,,Incomplete Transfer
152,987,2020.08.05 22:56:31,2020.08.05 22:56:31,18.0,36.7728,12.51422,,Hit,2020.08.05 22:56:31,1,No,No,,,3720 930 1419 15 1 0 3 1,No,
153,989,2020.08.06 00:00:00,2020.08.06 00:00:00,,,,26.0,,2020.08.06 05:14:46,1,,,,Primary,,No,
154,997,2020.08.06 05:14:46,2020.08.06 05:14:46,17.0,36.82275,12.52393,,Hit,2020.08.06 05:14:46,1,No,No,,,3525 1175 997 9 4 0 3 0,No,
