Remaining Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
1,2019.07.15 14:15:00,2019.07.15 14:15:00,,,,29.0,,2019.07.15 14:38:49,1,,,,Roof Test,,No,
2,2019.07.15 14:30:00,2019.07.15 14:30:00,,,,38.0,,2019.07.15 14:38:49,1,,,,Roof Test,,No,
3,2019.07.15 14:38:49,2019.07.15 14:38:49,3.0,33.3804,-111.80938,,Hit,2019.07.15 14:38:49,1,No,No,,,0 0 0 2 0 0 0 0,No,
4,2019.07.15 14:45:00,2019.07.15 14:45:00,,,,42.0,,2019.07.15 15:08:52,1,,,,Roof Test,,No,
5,2019.07.15 15:00:00,2019.07.15 15:00:00,,,,44.0,,2019.07.15 15:08:52,1,,,,Roof Test,,No,
6,2019.07.15 15:08:52,2019.07.15 15:08:52,3.0,33.3804,-111.80938,,Hit,2019.07.15 15:08:52,1,No,No,,,0 0 0 2 0 0 0 0,No,
7,2019.07.15 15:15:00,2019.07.15 15:15:00,,,,46.0,,2019.07.15 16:49:04,1,,,,Roof Test,,No,
8,2019.07.15 15:30:00,2019.07.15 15:30:00,,,,49.0,,2019.07.15 16:49:04,1,,,,Roof Test,,No,
9,2019.07.15 15:45:00,2019.07.15 15:45:00,,,,52.0,,2019.07.15 16:08:48,1,,,,Roof Test,,No,
10,2019.07.15 16:00:00,2019.07.15 16:00:00,,,,53.0,,2019.07.15 16:08:48,1,,,,Roof Test,,No,
11,2019.07.15 16:08:48,2019.07.15 16:08:48,3.0,33.3804,-111.80938,,Hit,2019.07.15 16:08:48,1,No,No,,,0 0 0 4 0 0 1 0,No,
12,2019.07.15 16:15:00,2019.07.15 16:15:00,,,,54.0,,2019.07.15 16:38:51,1,,,,Roof Test,,No,
13,2019.07.15 16:30:00,2019.07.15 16:30:00,,,,56.0,,2019.07.15 16:38:51,1,,,,Roof Test,,No,
14,2019.07.15 16:38:51,2019.07.15 16:38:51,19.0,33.35392,-111.90523,,Hit,2019.07.15 16:38:51,1,No,No,,,0 0 0 2 0 0 0 0,No,
15,2019.07.15 16:45:00,2019.07.15 16:45:00,,,,58.0,,2019.07.15 16:48:53,1,,,,Roof Test,,No,
16,2019.07.15 16:48:53,2019.07.15 16:48:53,9.0,33.42897,-111.82536999999999,,Hit,2019.07.15 16:48:53,1,No,No,,,0 0 0 1 0 0 0 0,No,
