Acquisition Time,Acquisition Start Time,Underwater Percentage,Dive Count,Average Dive Duration,Maximum Dive Duration,Maximum Dive Depth,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count
2019.07.15 14:30:00,2019.07.15 14:15:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 14:45:00,2019.07.15 14:30:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 15:00:00,2019.07.15 14:45:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 15:15:00,2019.07.15 15:00:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 15:30:00,2019.07.15 15:15:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 15:45:00,2019.07.15 15:30:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 16:00:00,2019.07.15 15:45:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 16:15:00,2019.07.15 16:00:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 16:30:00,2019.07.15 16:15:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2019.07.15 16:45:00,2019.07.15 16:30:00,0.000%,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
2020.06.29 12:00:00,2020.06.29 10:00:00,0.391%,0.0,0.0,,1.0,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.06.29 14:00:00,2020.06.29 12:00:00,0.391%,0.0,0.0,,1.0,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 02:00:00,2020.07.10 00:00:00,0.07422,12.0,44.0,,3.0,0.06641,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 02:00:00,2020.07.10 00:00:00,7.422%,12.0,44.0,,3.0,6.641%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 04:00:00,2020.07.10 02:00:00,0.74609,55.0,98.0,,19.0,0.43359,0.14453,0.13672,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,50.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 04:00:00,2020.07.10 02:00:00,74.609%,55.0,98.0,,19.0,43.359%,14.453%,13.672%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,50.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 06:00:00,2020.07.10 04:00:00,0.96484,60.0,109.0,,35.0,0.29297,0.55078,0.03516,0.02734,0.01953,0.00391,0.00391,0.00391,0.00391,0.00391,46.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 06:00:00,2020.07.10 04:00:00,96.484%,60.0,109.0,,35.0,29.297%,55.078%,3.516%,2.734%,1.953%,0.391%,0.391%,0.391%,0.391%,0.391%,46.0,7.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 08:00:00,2020.07.10 06:00:00,92.578%,6.0,1023.0,,9.0,2.734%,89.453%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 08:00:00,2020.07.10 06:00:00,0.92578,6.0,1023.0,,9.0,0.02734,0.89453,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 10:00:00,2020.07.10 08:00:00,0.94922,13.0,499.0,,9.0,0.06641,0.87109,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 10:00:00,2020.07.10 08:00:00,94.922%,13.0,499.0,,9.0,6.641%,87.109%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 12:00:00,2020.07.10 10:00:00,94.922%,15.0,507.0,,7.0,57.422%,36.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 12:00:00,2020.07.10 10:00:00,0.94922,15.0,507.0,,7.0,0.57422,0.36328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 14:00:00,2020.07.10 12:00:00,98.047%,85.0,77.0,,11.0,55.078%,36.328%,1.172%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,74.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 14:00:00,2020.07.10 12:00:00,0.98047,85.0,77.0,,11.0,0.55078,0.36328,0.01172,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,74.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 16:00:00,2020.07.10 14:00:00,0.95703,41.0,177.0,,11.0,0.58984,0.33984,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 16:00:00,2020.07.10 14:00:00,95.703%,41.0,177.0,,11.0,58.984%,33.984%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,35.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 18:00:00,2020.07.10 16:00:00,94.922%,13.0,538.0,,9.0,47.266%,46.484%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 18:00:00,2020.07.10 16:00:00,0.94922,13.0,538.0,,9.0,0.47266,0.46484,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 20:00:00,2020.07.10 18:00:00,94.141%,14.0,436.0,,11.0,6.641%,86.328%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,0.391%,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020.07.10 20:00:00,2020.07.10 18:00:00,0.94141,14.0,436.0,,11.0,0.06641,0.86328,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,0.00391,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
