No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,GPS UTM Zone,GPS UTM Northing,GPS UTM Easting,GPS Altitude,GPS Horizontal Error,GPS Horizontal Dilution,GPS Satellite Bitmap,GPS Satellite Count,Underwater Percentage,Dive Count,Average Dive Duration,Dive Duration Standard Deviation,Maximum Dive Duration,Maximum Dive Depth,Duration Limit 1 Dive Count,Duration Limit 2 Dive Count,Duration Limit 3 Dive Count,Duration Limit 4 Dive Count,Duration Limit 5 Dive Count,Duration Limit 6 Dive Count,Layer 1 Percentage,Layer 2 Percentage,Layer 3 Percentage,Layer 4 Percentage,Layer 5 Percentage,Layer 6 Percentage,Layer 7 Percentage,Layer 8 Percentage,Layer 9 Percentage,Layer 10 Percentage,Layer 1 Dive Count,Layer 2 Dive Count,Layer 3 Dive Count,Layer 4 Dive Count,Layer 5 Dive Count,Layer 6 Dive Count,Layer 7 Dive Count,Layer 8 Dive Count,Layer 9 Dive Count,Layer 10 Dive Count,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Mortality,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
1,2019.07.15 14:15:00,2019.07.15 14:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,2019.07.15 14:40:24,1,,,,,Roof Test,,No,
2,2019.07.15 14:30:00,2019.07.15 14:15:00,,,,,,,,,,,,,,,,0.000%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2019.07.15 14:40:24,1,,,,,Roof Test,,No,
3,2019.07.15 14:30:00,2019.07.15 14:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,2019.07.15 14:40:24,1,,,,,Roof Test,,No,
4,2019.07.15 14:40:24,2019.07.15 14:40:24,2.0,33.3804,-111.80938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2019.07.15 14:40:24,1,No,,No,,,0 0 0 2 0 0 0 0,No,
5,2019.07.15 14:45:00,2019.07.15 14:30:00,,,,,,,,,,,,,,,,0.000%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2019.07.15 15:10:24,1,,,,,Roof Test,,No,
6,2019.07.15 14:45:00,2019.07.15 14:45:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,2019.07.15 15:10:24,1,,,,,Roof Test,,No,
7,2019.07.15 15:00:00,2019.07.15 14:45:00,,,,,,,,,,,,,,,,0.000%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2019.07.15 15:10:24,1,,,,,Roof Test,,No,
8,2019.07.15 15:00:00,2019.07.15 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,2019.07.15 15:10:24,1,,,,,Roof Test,,No,
9,2019.07.15 15:10:24,2019.07.15 15:10:24,4.0,33.38778,-111.76945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hit,2019.07.15 15:10:24,1,No,,No,,,0 0 0 2 0 0 0 0,No,
10,2019.07.15 15:15:00,2019.07.15 15:00:00,,,,,,,,,,,,,,,,0.000%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000%,0.000%,0.000%,0.000%,0.000%,0.000%,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2019.07.15 15:40:25,1,,,,,Roof Test,,No,
11,2019.07.15 15:15:00,2019.07.15 15:15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,2019.07.15 15:40:25,1,,,,,Roof Test,,No,
