Removed GPS by Speed,All GPS's Track ID,Acquisition Time,Acquisition Start Time,GPS Fix Time,GPS Fix Attempt,GPS Latitude,GPS Longitude,"Speeds > 1,11111 m/s"
1,57,2020.08.13 02:04:04,2020.08.13 02:00:00,2020.08.13 02:04:04,Unresolved QFP,37.170167,16.132345,32.60841259508749
2,116,2020.08.14 21:01:15,2020.08.14 21:00:00,2020.08.14 21:01:15,Unresolved QFP,37.753056,16.511718,1.1705569953075126
3,190,2020.08.16 21:01:00,2020.08.16 21:00:00,2020.08.16 21:01:00,Resolved QFP (Uncertain),36.612646,20.277667,177.62047652649497
4,198,2020.08.17 02:36:48,2020.08.17 02:30:00,2020.08.17 02:36:48,Unresolved QFP,33.612358,17.376514,177.475999642513
5,314,2020.08.20 13:09:28,2020.08.20 13:00:00,2020.08.20 13:09:28,Unresolved QFP,37.994043,18.013764,1.556904347747751
6,813,2020.09.07 01:30:11,2020.09.07 01:00:00,2020.09.07 01:30:11,Unresolved QFP,42.627442,25.786379,192.31635834514688
7,1061,2020.09.17 21:09:34,2020.09.17 21:00:00,2020.09.17 21:09:34,Unresolved QFP,40.276249,25.473133,168.0251814183674
8,1255,2020.09.27 20:00:17,2020.09.27 20:00:00,2020.09.27 20:00:17,Unresolved QFP,38.925875,17.949445,1.1741941804493141
9,1342,2020.10.11 18:09:28,2020.10.11 18:00:00,2020.10.11 18:09:28,Unresolved QFP,47.202302,22.058221,42.03013665036879
10,1807,2020.11.22 12:00:48,2020.11.22 12:00:00,2020.11.22 12:00:48,Unresolved QFP,37.724227,15.922895,5.190569701048907
11,1811,2020.11.22 18:02:52,2020.11.22 18:00:00,2020.11.22 18:02:52,Unresolved QFP,36.876186,15.684474,10.267498338743316
12,1934,2020.12.04 00:00:49,2020.12.04 00:00:00,2020.12.04 00:00:49,Unresolved QFP,35.210611,16.5154,44.5529620148761
13,2126,2020.12.21 19:00:03,2020.12.21 19:00:00,2020.12.21 19:00:03,Resolved QFP,37.704304,16.550031,1.2566503716734463
14,2456,2021.01.27 18:00:17,2021.01.27 18:00:00,2021.01.27 18:00:17,Unresolved QFP,38.058249,16.813363,21.492607631103937
