Remaining Data ID,No GPS Data ID,Acquisition Time,Acquisition Start Time,Iridium CEP Radius,Iridium Latitude,Iridium Longitude,Temperature,Satellite Uplink,Receive Time,Repetition Count,Low Voltage,Saltwater Failsafe,Iridium Command,Schedule Set,Diagnostic Dive Data,Predeployment Data,Error
1,63,2020.08.12 08:00:14,2020.08.12 08:00:14,3.0,37.824729999999995,15.9329,,Hit,2020.08.12 08:00:14,1,No,No,,,0 0 2144 9 4 0 0 0,No,
2,65,2020.08.12 11:40:16,2020.08.12 11:40:16,6.0,37.78103,15.876729999999998,,Hit,2020.08.12 11:40:16,1,No,No,,,0 0 2155 7 0 0 0 0,No,
3,66,2020.08.12 12:00:00,2020.08.12 12:00:00,,,,29.0,,2020.08.12 19:03:34,1,,,,Primary,,No,
4,71,2020.08.12 19:03:34,2020.08.12 19:03:34,,,,,Hit,2020.08.12 19:03:34,1,No,No,,,9002 1000 1822 12 0 0 2 7,No,
5,73,2020.08.12 20:48:24,2020.08.12 20:48:24,3.0,37.7313,15.864320000000001,,Hit,2020.08.12 20:48:24,1,No,No,,,0 0 2130 4 0 0 0 0,No,
6,76,2020.08.13 00:00:00,2020.08.13 00:00:00,,,,28.0,,2020.08.13 01:31:16,1,,,,Primary,,No,
7,77,2020.08.13 01:31:16,2020.08.13 01:31:16,4.0,37.68155,15.851920000000002,,Hit,2020.08.13 01:31:16,1,No,No,,,0 0 15 10 0 0 0 0,No,
8,81,2020.08.13 06:18:47,2020.08.13 06:18:47,12.0,37.67553,15.89555,,Hit,2020.08.13 06:18:47,1,No,No,,,0 0 1548 9 0 0 0 0,No,
9,85,2020.08.13 12:00:00,2020.08.13 12:00:00,,,,27.0,,2020.08.13 17:32:29,1,,,,Primary,,No,
10,86,2020.08.13 13:49:22,2020.08.13 13:49:22,3.0,37.68462,15.99525,,Hit,2020.08.13 13:49:22,1,No,No,,,3453 863 2165 11 1 0 0 4,No,
11,89,2020.08.13 17:32:29,2020.08.13 17:32:29,2.0,37.69362,16.095,,Hit,2020.08.13 17:32:29,1,No,No,,,0 0 1956 6 1 0 0 0,No,
12,93,2020.08.13 23:07:43,2020.08.13 23:07:43,4.0,37.68748,16.1386,,Hit,2020.08.13 23:07:43,1,No,No,,,0 0 2002 9 1 0 0 0,No,
13,95,2020.08.14 00:00:00,2020.08.14 00:00:00,,,,29.0,,2020.08.14 08:44:37,1,,,,Primary,,No,
14,100,2020.08.14 08:44:37,2020.08.14 08:44:37,2.0,37.6405,16.269270000000002,,Hit,2020.08.14 08:44:37,1,No,No,,,4300 1433 2088 15 2 0 2 1,No,
15,102,2020.08.14 10:30:16,2020.08.14 10:30:16,,,,,Hit,2020.08.14 10:30:16,1,No,No,,,0 0 2366 5 0 0 0 0,No,
16,104,2020.08.14 12:00:00,2020.08.14 12:00:00,,,,23.0,,2020.08.14 15:55:59,1,,,,Primary,,No,
17,106,2020.08.14 15:55:59,2020.08.14 15:55:59,3.0,37.72125,16.42538,,Hit,2020.08.14 15:55:59,1,No,No,,,0 0 1726 8 0 0 0 0,No,
18,111,2020.08.15 00:00:00,2020.08.15 00:00:00,,,,29.0,,2020.08.15 05:14:46,1,,,,Primary,,No,
19,113,2020.08.15 00:06:53,2020.08.15 00:06:53,,,,,Hit,2020.08.15 00:06:53,1,No,No,,,812 812 2268 16 0 0 0 1,No,
20,116,2020.08.15 05:14:46,2020.08.15 05:14:46,3.0,37.71732,16.61232,,Hit,2020.08.15 05:14:46,1,No,No,,,1750 1750 1870 8 0 0 0 1,No,
21,119,2020.08.15 08:36:16,2020.08.15 08:36:16,3.0,37.7036,16.6688,,Hit,2020.08.15 08:36:16,1,No,No,,,0 0 2478 6 0 0 0 0,No,
22,122,2020.08.15 12:00:00,2020.08.15 12:00:00,,,,31.0,,2020.08.15 12:00:16,1,,,,Primary,,No,
23,123,2020.08.15 12:00:16,2020.08.15 12:00:16,2.0,37.69092,16.75573,,Hit,2020.08.15 12:00:16,1,No,No,,,0 0 965 7 0 0 0 0,No,
24,126,2020.08.15 16:48:33,2020.08.15 16:48:33,11.0,37.68457,16.79918,,Hit,2020.08.15 16:48:33,1,No,No,,,0 0 2256 8 0 0 0 0,No,
25,131,2020.08.16 00:00:00,2020.08.16 00:00:00,,,,28.0,,2020.08.16 06:44:26,1,,,,Primary,,No,
26,132,2020.08.16 00:01:17,2020.08.16 00:01:17,13.0,37.64325,16.886,,Hit,2020.08.16 00:01:17,1,No,No,,,0 0 1206 11 1 0 0 0,No,
27,136,2020.08.16 06:44:26,2020.08.16 06:44:26,8.0,37.63685,16.92938,,Hit,2020.08.16 06:44:26,1,No,No,,,2465 2465 2988 11 0 0 1 0,No,
28,139,2020.08.16 11:59:16,2020.08.16 11:59:16,8.0,37.60187,16.97275,,Hit,2020.08.16 11:59:16,1,No,No,,,1539 770 971 7 0 0 1 1,No,
